district;neighborhood;room;living room;area (m2);age;floor;price
 Şişli ; Kuştepe Mah.;1;1;50;5;3;20000
 Beyoğlu ; Kalyoncu Kulluğu Mah.;1;1;75;50;1;23000
 Bakırköy ; Şenlikköy Mah.;4;2;330;25;1;140000
 Kağıthane ; Hamidiye Mah.;2;1;130;4;8;80000
 Kağıthane ; Seyrantepe Mah.;4;1;210;3;6;140000
 Zeytinburnu ; Seyitnizam Mah.;1;1;80;22;3;11500
 Şişli ; Gülbahar Mah.;2;1;85;15;2;20000
 Sarıyer ; Maslak Mah.;4;1;280;5;11;150000
 Şişli ; Merkez Mah.;1;1;100;0;6;60000
 Beykoz ; Kavacık Mah.;4;1;150;30;1;12000
 Şişli ; Merkez Mah.;2;1;130;6;21;75000
 Şişli ; Mecidiyeköy Mah.;2;1;55;5;5;22000
 Bakırköy ; Yeşilköy Mah.;3;1;200;0;2;125000
 Kağıthane ; Seyrantepe Mah.;3;1;240;3;6;85000
 Şişli ; Teşvikiye Mah.;1;1;120;2;3;69000
 Bağcılar ; Mahmutbey Mah.;2;1;100;26;5;15000
 Bakırköy ; Şenlikköy Mah.;3;1;165;22;5;68000
 Zeytinburnu ; Seyitnizam Mah.;2;1;85;25;-1;7500
 Kağıthane ; Telsizler Mah.;1;1;55;3;1;35000
 Şişli ; Merkez Mah.;3;1;191;0;21;120000
 Şişli ; Merkez Mah.;2;1;130;5;21;75000
 Kağıthane ; Yahya Kemal Mah.;2;1;75;11;0;23000
 Şişli ; Teşvikiye Mah.;2;1;150;2;6;145000
 Sarıyer ; Maslak Mah.;3;1;190;10;16;85000
 Bağcılar ; Göztepe Mah.;2;1;120;5;8;30000
 Beyoğlu ; Firuzağa Mah.;1;1;60;50;3;15000
 Bakırköy ; Şenlikköy Mah.;4;1;220;16;5;120000
 Şişli ; Merkez Mah.;1;1;68;0;10;50000
 Bakırköy ; Şenlikköy Mah.;3;1;140;50;0;30000
 Beyoğlu ; Gümüşsuyu Mah.;1;0;35;55;1;15000
 Şişli ; Merkez Mah.;2;1;130;5;21;75000
 Şişli ; Mecidiyeköy Mah.;1;1;65;5;3;27500
 Bağcılar ; Mahmutbey Mah.;2;1;100;26;5;15000
 Beykoz ; Kavacık Mah.;4;1;160;30;2;10000
 Beykoz ; Yalıköy Mah.;2;1;100;26;3;40000
 Beşiktaş ; Yıldız Mah.;2;1;163;0;1;165000
 Bakırköy ; Şenlikköy Mah.;4;1;200;28;2;90000
 Şişli ; Merkez Mah.;2;1;120;5;20;75000
 Beyoğlu ; Gümüşsuyu Mah.;2;1;100;50;2;75000
 Şişli ; Teşvikiye Mah.;1;1;110;0;3;90000
 Esenler ; Fatih Mah.;2;1;145;33;2;15000
 Bakırköy ; Basınköy Mah.;3;1;140;25;2;55000
 Sarıyer ; Maslak Mah.;3;1;180;5;8;80000
 Beşiktaş ; Dikilitaş Mah.;3;1;235;9;7;150000
 Şişli ; Merkez Mah.;2;1;120;5;20;75000
 Bakırköy ; Şenlikköy Mah.;4;1;220;30;2;85000
 Beşiktaş ; Levazım Mah.;5;1;400;4;4;580000
 Beşiktaş ; Vişnezade Mah.;1;1;96;11;16;60000
 Şişli ; Kuştepe Mah.;1;1;50;5;4;23000
 Beykoz ; Ortaçeşme Mah.;2;1;110;26;0;17000
 Esenler ; Fatih Mah.;3;1;140;26;4;15500
 Şişli ; Merkez Mah.;2;1;120;5;20;75000
 Beşiktaş ; Akat Mah.;3;1;180;27;4;160000
 Şişli ; Mecidiyeköy Mah.;2;1;80;21;3;20000
 Bağcılar ; İnönü Mah.;2;1;110;16;3;18500
 Şişli ; Merkez Mah.;3;1;110;40;3;40000
 Şişli ; Merkez Mah.;2;1;120;5;20;75000
 Şişli ; Merkez Mah.;2;1;100;2;21;65000
 Bağcılar ; Kirazlı Mah.;1;1;85;11;1;20000
 Bakırköy ; Şenlikköy Mah.;3;1;160;31;5;45000
 Sarıyer ; Maslak Mah.;1;1;75;7;10;53000
 Beşiktaş ; Vişnezade Mah.;5;1;475;6;8;550000
 Şişli ; Kuştepe Mah.;2;1;65;5;1;22000
 Ataşehir ; Örnek Mah.;1;1;55;10;16;31000
 Şişli ; Cumhuriyet Mah.;2;1;110;5;21;70000
 Şişli ; Merkez Mah.;3;1;170;0;21;100000
 Şişli ; Esentepe Mah.;2;1;138;2;2;113000
 Sarıyer ; Maslak Mah.;4;1;280;5;11;135000
 Beykoz ; Kavacık Mah.;2;1;100;30;4;8000
 Şişli ; Fulya Mah.;1;0;30;3;5;21500
 Bakırköy ; Şenlikköy Mah.;3;1;165;25;2;70000
 Esenler ; Kemer Mah.;2;1;100;28;6;15500
 Kağıthane ; Emniyet Evleri Mah.;3;1;330;5;11;180000
 Beşiktaş ; Levazım Mah.;4;1;330;10;18;250000
 Sarıyer ; Ferahevler Mah.;3;1;250;4;5;200000
 Sarıyer ; Maslak Mah.;1;1;85;10;10;60000
 Şişli ; Mecidiyeköy Mah.;1;1;65;5;1;27500
 Beşiktaş ; Vişnezade Mah.;1;1;135;6;3;125000
 Beykoz ; Acarlar Mah.;5;1;551;5;0;630000
 Eyüpsultan ; Mimar Sinan Mah.;3;1;150;3;3;55000
 Bağcılar ; Demirkapı Mah.;2;1;90;31;1;16000
 Beşiktaş ; Levent Mah.;3;1;440;5;11;205000
 Beşiktaş ; Dikilitaş Mah.;3;1;235;7;15;150000
 Bakırköy ; Şenlikköy Mah.;2;1;130;35;4;32000
 Şişli ; Merkez Mah.;2;1;115;4;20;75000
 Sarıyer ; Zekeriyaköy Mah.;1;1;50;8;1;40000
 Kağıthane ; Hürriyet Mah.;2;1;65;5;2;27000
 Beşiktaş ; Bebek Mah.;3;1;220;30;4;420000
 Bağcılar ; Mahmutbey Mah.;3;1;165;21;4;24000
 Kağıthane ; Merkez Mah.;2;1;105;5;2;55000
 Şişli ; Halide Edip Adıvar Mah.;1;1;105;4;2;53000
 Sarıyer ; Maslak Mah.;2;1;145;10;19;85000
 Sarıyer ; Maslak Mah.;3;1;170;10;21;80000
 Beykoz ; Acarlar Mah.;6;2;700;11;0;285000
 Şişli ; Halaskargazi Mah.;2;1;260;2;7;120000
 Beşiktaş ; Levent Mah.;3;1;400;5;14;220000
 Küçükçekmece ; Yeşilova Mah.;2;1;120;23;2;25000
 Şişli ; Harbiye Mah.;1;1;121;11;20;100000
 Şişli ; Fulya Mah.;1;0;30;2;5;20000
 Sarıyer ; Maslak Mah.;2;1;145;10;20;83000
 Sarıyer ; Maslak Mah.;3;1;170;10;2;80000
 Bağcılar ; Kemalpaşa Mah.;3;1;110;19;4;12000
 Fatih ; Derviş Ali Mah.;2;1;75;34;3;21500
 Kağıthane ; Harmantepe Mah.;2;1;75;11;1;28000
 Beşiktaş ; Vişnezade Mah.;3;1;300;13;7;350000
 Kağıthane ; Emniyet Evleri Mah.;1;1;140;15;21;80000
 Sarıyer ; Maslak Mah.;2;1;170;10;20;85000
 Sarıyer ; Maslak Mah.;3;1;185;5;13;80000
 Esenler ; Fatih Mah.;2;1;140;31;5;16000
 Sarıyer ; Ferahevler Mah.;3;1;230;26;0;45000
 Şişli ; Gülbahar Mah.;1;1;45;5;2;20000
 Sarıyer ; Maslak Mah.;1;1;80;5;20;55000
 Kağıthane ; Emniyet Evleri Mah.;5;1;550;15;21;240000
 Sarıyer ; Maslak Mah.;3;1;170;10;10;83000
 Bakırköy ; Şenlikköy Mah.;2;1;90;26;0;45000
 Şişli ; Merkez Mah.;2;1;130;3;5;80000
 Sarıyer ; Huzur Mah.;1;1;80;5;14;50000
 Şişli ; Eskişehir Mah.;1;1;55;3;4;27500
 Şişli ; Teşvikiye Mah.;2;1;150;2;6;145000
 Şişli ; Esentepe Mah.;2;1;90;21;5;49000
 Şişli ; Cumhuriyet Mah.;1;1;85;10;2;50000
 Sarıyer ; Maslak Mah.;4;1;255;12;21;129999
 Bağcılar ; Fevzi Çakmak Mah.;2;1;85;26;4;12500
 Sarıyer ; Huzur Mah.;1;1;95;5;17;58000
 Şişli ; Fulya Mah.;1;1;136;5;18;85000
 Şişli ; Mecidiyeköy Mah.;2;1;70;5;-1;22000
 Beşiktaş ; Levent Mah.;3;1;155;26;2;40000
 Bakırköy ; Şenlikköy Mah.;3;1;160;35;2;95000
 Sarıyer ; Maslak Mah.;3;1;145;10;20;85000
 Beşiktaş ; Ortaköy Mah.;1;2;140;15;2;85000
 Bağcılar ; Fevzi Çakmak Mah.;2;1;100;16;1;17000
 Sarıyer ; Maslak Mah.;1;1;105;5;21;60000
 Beşiktaş ; Gayrettepe Mah.;1;1;90;14;18;60000
 Kağıthane ; Ortabayır Mah.;2;1;200;11;2;130000
 Eyüpsultan ; İslambey Mah.;1;1;65;3;5;28000
 Sarıyer ; Maslak Mah.;2;1;146;10;18;70000
 Bağcılar ; Yavuz Selim Mah.;2;1;95;25;4;20000
 Beyoğlu ; Kuloğlu Mah.;1;1;45;45;2;23000
 Sarıyer ; Huzur Mah.;1;1;80;4;3;60000
 Sarıyer ; Tarabya Mah.;3;1;200;15;2;440000
 Beşiktaş ; Vişnezade Mah.;5;1;550;10;5;550000
 Bakırköy ; Şenlikköy Mah.;3;1;180;30;2;55000
 Sarıyer ; Maslak Mah.;3;1;186;9;20;95000
 Şişli ; Gülbahar Mah.;1;1;55;11;0;18500
 Esenler ; Birlik Mah.;2;1;95;26;1;20000
 Beyoğlu ; Hüseyinağa Mah.;1;1;45;50;3;20000
 Şişli ; Teşvikiye Mah.;1;1;120;2;3;69000
 Beşiktaş ; Vişnezade Mah.;4;1;365;10;10;340000
 Sarıyer ; Ayazağa Mah.;1;0;55;3;2;35000
 Sarıyer ; Huzur Mah.;3;1;130;3;3;70000
 Şişli ; Fulya Mah.;1;0;30;3;5;18500
 Beşiktaş ; Levent Mah.;5;1;390;5;21;340000
 Beyoğlu ; Gümüşsuyu Mah.;3;1;200;70;6;40000
 Sarıyer ; Tarabya Mah.;5;1;450;6;0;300000
 Bağcılar ; Yıldıztepe Mah.;1;1;80;26;2;9000
 Sarıyer ; Maslak Mah.;4;1;300;10;14;150000
 Şişli ; Mecidiyeköy Mah.;1;1;55;5;0;20000
 Beykoz ; Kavacık Mah.;1;1;70;25;1;23000
 Kağıthane ; Emniyet Evleri Mah.;5;1;760;5;21;490000
 Beşiktaş ; Levazım Mah.;2;1;170;5;2;220000
 Bağcılar ;15 Temmuz Mah.;2;1;90;5;3;18000
 Eyüpsultan ; Emniyettepe Mah.;1;1;75;2;4;27000
 Sarıyer ; Huzur Mah.;1;1;65;3;16;50000
 Şişli ; Kuştepe Mah.;2;1;80;5;3;32000
 Beşiktaş ; Ortaköy Mah.;1;1;100;4;2;200000
 Sarıyer ; Maslak Mah.;1;1;85;12;20;48000
 Beşiktaş ; Levazım Mah.;2;1;179;5;10;280000
 Bağcılar ; Kazım Karabekir Mah.;2;1;125;19;4;16500
 Şişli ; Fulya Mah.;1;1;105;4;21;90000
 Kağıthane ; Hamidiye Mah.;1;0;50;3;5;30000
 Beykoz ; Kavacık Mah.;2;1;125;30;2;10000
 Beşiktaş ; Vişnezade Mah.;1;1;146;4;4;135000
 Sarıyer ; Huzur Mah.;1;0;45;3;10;40000
 Bağcılar ; Demirkapı Mah.;2;1;80;16;4;12250
 Sarıyer ; Maslak Mah.;2;1;145;10;20;80000
 Beşiktaş ; Levazım Mah.;2;1;200;8;15;260000
 Şişli ; Mecidiyeköy Mah.;2;1;55;5;-1;18000
 Beşiktaş ; Vişnezade Mah.;4;1;265;3;9;340000
 Şişli ; Fulya Mah.;1;1;116;4;15;90000
 Sarıyer ; Huzur Mah.;1;1;85;5;21;50000
 Sarıyer ; Huzur Mah.;3;1;150;4;3;75000
 Şişli ; Kuştepe Mah.;1;0;45;1;1;14000
 Beyoğlu ; Firuzağa Mah.;2;1;80;31;5;60000
 Beşiktaş ; Levent Mah.;4;1;400;5;19;250000
 Sarıyer ; Ayazağa Mah.;1;1;75;6;9;50000
 Sarıyer ; Huzur Mah.;1;1;65;3;8;45000
 Sarıyer ; Maslak Mah.;1;1;85;10;18;48000
 Şişli ; Mecidiyeköy Mah.;1;0;20;20;2;18000
 Üsküdar ; Beylerbeyi Mah.;7;2;1600;11;1;4200000
 Beşiktaş ; Levent Mah.;3;1;360;5;11;190000
 Esenler ; Oruçreis Mah.;2;1;80;26;1;13000
 Sarıyer ; Huzur Mah.;3;1;196;10;8;77000
 Beşiktaş ; Gayrettepe Mah.;1;1;73;16;3;40000
 Beşiktaş ; Nisbetiye Mah.;7;1;650;0;21;650000
 Bağcılar ; Demirkapı Mah.;2;1;100;27;4;16000
 Sarıyer ; Ayazağa Mah.;1;1;70;2;6;60000
 Şişli ; Merkez Mah.;1;1;70;0;21;50000
 Sarıyer ; Maslak Mah.;3;1;170;10;16;85000
 Beşiktaş ; Nisbetiye Mah.;4;1;450;9;16;300000
 Sarıyer ; Ferahevler Mah.;3;1;250;4;0;180000
 Şişli ; Merkez Mah.;1;1;70;1;12;45000
 Sarıyer ; Maslak Mah.;3;1;170;10;6;85000
 Esenyurt ; Hürriyet Mah.;3;1;150;11;5;15000
 Beşiktaş ; Levazım Mah.;2;1;200;5;14;230000
 Beşiktaş ; Nisbetiye Mah.;5;1;355;2;21;400000
 Esenler ; Turgut Reis Mah.;3;2;85;29;4;13500
 Sarıyer ; Maslak Mah.;3;1;170;10;19;80000
 Şişli ; Halaskargazi Mah.;2;1;200;2;4;96000
 Kağıthane ; Telsizler Mah.;2;1;100;4;1;25000
 Eyüpsultan ; Emniyettepe Mah.;1;1;75;10;2;25000
 Beşiktaş ; Vişnezade Mah.;1;1;120;6;4;130000
 Beşiktaş ; Nisbetiye Mah.;4;1;349;0;21;320000
 Güngören ; Akıncılar Mah.;3;1;120;26;4;23000
 Şişli ; Teşvikiye Mah.;1;0;45;26;2;35000
 Sarıyer ; Ayazağa Mah.;1;1;85;12;8;65000
 Şişli ; Merkez Mah.;2;1;110;2;4;65000
 Kağıthane ; Harmantepe Mah.;2;1;85;5;1;25000
 Beşiktaş ; Nisbetiye Mah.;3;1;300;0;21;300000
 Kağıthane ; Emniyet Evleri Mah.;1;1;150;5;13;75000
 Kağıthane ; Merkez Mah.;2;1;102;4;2;55000
 Şişli ; Merkez Mah.;2;1;110;2;21;75000
 Beşiktaş ; Nisbetiye Mah.;4;1;349;0;18;300000
 Sarıyer ; Uskumruköy Mah.;3;1;220;4;0;175000
 Kağıthane ; Seyrantepe Mah.;4;1;220;2;2;95000
 Bakırköy ; Şenlikköy Mah.;5;1;245;30;3;85000
 Sarıyer ; Huzur Mah.;3;1;190;5;4;70000
 Şişli ; Merkez Mah.;1;1;70;1;2;50000
 Sarıyer ; Maslak Mah.;2;1;130;10;12;64999
 Beşiktaş ; Kültür Mah.;5;1;355;0;21;335000
 Şişli ; Merkez Mah.;1;1;70;0;21;60000
 Sarıyer ; Maslak Mah.;1;1;104;5;21;55000
 Maltepe ; Cevizli Mah.;2;1;160;10;21;50000
 Beşiktaş ; Nisbetiye Mah.;4;1;355;2;21;400000
 Sarıyer ; Huzur Mah.;1;1;65;4;2;50000
 Sarıyer ; Zekeriyaköy Mah.;6;2;500;16;0;120000
 Şişli ; Kuştepe Mah.;1;0;35;5;-3;11500
 Eyüpsultan ; Alibeyköy Mah.;1;1;75;1;3;27000
 Sarıyer ; Maslak Mah.;3;1;170;12;3;85000
 Beşiktaş ; Levazım Mah.;2;1;169;6;7;230000
 Beşiktaş ; Gayrettepe Mah.;2;1;90;16;3;50000
 Beşiktaş ; Nisbetiye Mah.;5;1;346;0;21;300000
 Şişli ; Kuştepe Mah.;1;0;45;1;5;14000
 Beyoğlu ; Firuzağa Mah.;3;1;120;65;5;49999
 Beşiktaş ; Ulus Mah.;3;1;180;35;-1;75000
 Şişli ; Kuştepe Mah.;1;0;35;1;1;15000
 Kağıthane ; Telsizler Mah.;1;1;75;2;2;35000
 Beyoğlu ; Firuzağa Mah.;3;1;120;65;4;50000
 Şişli ; Merkez Mah.;1;1;70;1;4;45000
 Beşiktaş ; Levent Mah.;2;1;280;5;21;175000
 Beşiktaş ; Nisbetiye Mah.;3;1;242;0;21;320000
 Sarıyer ; Maslak Mah.;3;1;186;9;20;90000
 Şişli ; Gülbahar Mah.;1;1;45;11;2;18000
 Sarıyer ; Ayazağa Mah.;3;1;196;4;8;90000
 Kağıthane ; Emniyet Evleri Mah.;1;1;125;11;20;80000
 Beşiktaş ; Nisbetiye Mah.;3;1;242;0;21;260000
 Beşiktaş ; Nisbetiye Mah.;5;1;430;10;9;450000
 Şişli ; Merkez Mah.;2;1;105;2;21;80000
 Bağcılar ;15 Temmuz Mah.;1;1;70;26;-1;8000
 Şişli ; Merkez Mah.;1;0;30;11;5;23000
 Beşiktaş ; Nisbetiye Mah.;3;1;240;0;21;275000
 Esenler ; Oruçreis Mah.;2;1;70;5;5;12500
 Sarıyer ; Huzur Mah.;1;1;105;4;21;50000
 Şişli ; Fulya Mah.;1;0;30;3;5;18500
 Şişli ; Merkez Mah.;2;1;100;1;21;75000
 Sarıyer ; Maslak Mah.;3;1;186;9;20;95000
 Beşiktaş ; Levent Mah.;1;1;150;5;21;95000
 Kağıthane ; Çağlayan Mah.;1;0;25;5;0;13000
 Şişli ; Merkez Mah.;1;1;110;0;13;50000
 Sarıyer ; Maslak Mah.;3;1;185;7;21;90000
 Sarıyer ; Huzur Mah.;2;1;125;3;2;65000
 Beşiktaş ; Ulus Mah.;1;1;110;4;0;65000
 Kağıthane ; Emniyet Evleri Mah.;5;1;400;5;21;240000
 Şişli ; Merkez Mah.;1;1;70;1;5;45000
 Sarıyer ; Maslak Mah.;3;1;218;10;16;125000
 Sarıyer ; Maslak Mah.;3;1;170;10;2;90000
 Kağıthane ; Emniyet Evleri Mah.;2;1;280;5;21;150000
 Beşiktaş ; Nisbetiye Mah.;4;1;355;2;21;340000
 Şişli ; Kuştepe Mah.;1;0;35;5;0;11500
 Şişli ; Merkez Mah.;1;1;98;0;13;70000
 Sarıyer ; Maslak Mah.;3;1;170;10;10;84999
 Beşiktaş ; Levent Mah.;2;1;250;5;15;145000
 Beşiktaş ; Nisbetiye Mah.;5;1;384;0;21;340000
 Kağıthane ; Çağlayan Mah.;1;0;30;1;4;13000
 Sarıyer ; Ayazağa Mah.;1;1;75;5;14;45000
 Beşiktaş ; Levazım Mah.;2;1;220;5;5;270000
 Sarıyer ; Maslak Mah.;3;1;218;8;16;125000
 Sarıyer ; Huzur Mah.;2;1;100;3;5;70000
 Beşiktaş ; Levazım Mah.;2;1;200;5;15;240000
 Sarıyer ; Huzur Mah.;3;1;160;10;6;75000
 Şişli ; Mecidiyeköy Mah.;2;1;95;15;2;45000
 Sarıyer ; Huzur Mah.;1;1;75;4;0;50000
 Şişli ; Merkez Mah.;1;1;100;2;2;60000
 Şişli ; Teşvikiye Mah.;2;1;380;16;21;275000
 Şişli ; Kuştepe Mah.;1;0;25;0;-1;11500
 Beşiktaş ; Vişnezade Mah.;2;1;215;5;0;240000
 Kağıthane ; Hamidiye Mah.;2;1;150;1;8;65000
 Şişli ; Teşvikiye Mah.;1;1;115;16;21;110000
 Sarıyer ; Maslak Mah.;3;1;170;10;15;84000
 Beşiktaş ; Levent Mah.;2;1;270;5;21;175000
 Şişli ; Cumhuriyet Mah.;1;1;93;4;2;60000
 Sarıyer ; Maslak Mah.;3;1;170;9;6;85000
 Kağıthane ; Çağlayan Mah.;2;1;70;5;1;24000
 Şişli ; Merkez Mah.;2;1;100;0;21;75000
 Sarıyer ; Maslak Mah.;4;1;280;6;21;990
 Kağıthane ; Çağlayan Mah.;3;1;90;11;1;300
 Şişli ; Cumhuriyet Mah.;2;1;185;11;17;950
 Beşiktaş ; Levent Mah.;3;1;220;5;13;1700
 Beşiktaş ; Levazım Mah.;3;1;220;5;9;3400
 Sarıyer ; Maslak Mah.;3;1;218;8;16;1250
 Şişli ; Mecidiyeköy Mah.;3;1;75;4;1;350
 Kağıthane ; Emniyet Evleri Mah.;4;1;449;15;19;2500
 Sarıyer ; Maslak Mah.;2;1;145;12;21;650
 Şişli ; Cumhuriyet Mah.;1;1;85;1;2;570
 Eyüpsultan ; İslambey Mah.;2;1;85;3;2;250
 Şişli ; Esentepe Mah.;1;1;60;8;4;650
 Şişli ; Cumhuriyet Mah.;1;1;85;0;2;640
 Sarıyer ; Maslak Mah.;3;1;170;10;6;850
 Kağıthane ; Emniyet Evleri Mah.;3;1;300;5;11;1850
 Sarıyer ; Huzur Mah.;1;1;70;3;2;500
 Sarıyer ; Maslak Mah.;3;1;170;10;6;850
 Şişli ; Merkez Mah.;1;1;100;0;12;750
 Kağıthane ; Gürsel Mah.;2;1;65;11;2;300
 Sarıyer ; Maslak Mah.;3;1;170;10;6;850
 Şişli ; İnönü Mah.;2;1;90;10;4;500
 Şişli ; Esentepe Mah.;1;1;130;12;7;1100
 Kağıthane ; Telsizler Mah.;3;1;95;5;1;210
 Sarıyer ; Maslak Mah.;4;1;255;6;21;950
 Beşiktaş ; Levazım Mah.;2;1;170;4;7;2300
 Sarıyer ; Maslak Mah.;1;1;85;7;5;500
 Kağıthane ; Harmantepe Mah.;2;1;75;5;2;220
 Sarıyer ; Maslak Mah.;3;1;170;12;2;900
 Kağıthane ; Yahya Kemal Mah.;2;1;115;12;10;600
 Şişli ; Merkez Mah.;1;1;70;2;2;500
 Kağıthane ; Gültepe Mah.;2;1;75;5;-2;220
 Şişli ; Teşvikiye Mah.;7;1;850;15;20;6800
 Avcılar ; Tahtakale Mah.;2;1;126;5;18;300
 Sarıyer ; Huzur Mah.;2;1;155;5;21;700
 Beşiktaş ; Nisbetiye Mah.;6;1;600;0;21;6500
 Eyüpsultan ; İslambey Mah.;2;1;65;3;-2;240
 Kağıthane ; Emniyet Evleri Mah.;2;1;360;15;21;2000
 Şişli ; Merkez Mah.;1;1;65;1;4;450
 Şişli ; Teşvikiye Mah.;3;1;220;30;2;750
 Beşiktaş ; Levazım Mah.;2;1;180;5;1;2400
 Beşiktaş ; Dikilitaş Mah.;1;1;96;15;5;550
 Şişli ; Gülbahar Mah.;2;1;85;5;-3;280
 Beşiktaş ; Dikilitaş Mah.;4;1;232;8;7;1500
 Kağıthane ; Emniyet Evleri Mah.;1;0;50;4;1;245
 Beşiktaş ; Nisbetiye Mah.;5;1;350;0;21;4650
 Sarıyer ; Maslak Mah.;4;1;255;13;20;1299
 Beşiktaş ; Levent Mah.;2;1;220;5;14;1600
 Kağıthane ; Harmantepe Mah.;1;1;50;2;2;200
 Beşiktaş ; Levazım Mah.;2;1;169;4;7;2400
 Beşiktaş ; Levazım Mah.;2;1;175;10;10;2550
 Sarıyer ; Maslak Mah.;2;1;130;5;2;850
 Beşiktaş ; Levent Mah.;1;1;130;11;6;1100
 Şişli ; Merkez Mah.;2;1;130;0;21;800
 Beşiktaş ; Levazım Mah.;4;1;290;5;10;5800
 Sarıyer ; Huzur Mah.;3;1;150;4;4;750
 Şişli ; Gülbahar Mah.;1;0;50;4;0;190
 Beşiktaş ; Dikilitaş Mah.;4;1;237;11;9;1500
 Şişli ; Mecidiyeköy Mah.;1;0;35;11;3;170
 Beşiktaş ; Gayrettepe Mah.;2;1;90;5;1;500
 Şişli ; Gülbahar Mah.;1;1;50;5;2;225
 Sarıyer ; Maslak Mah.;3;1;175;9;17;850
 Beşiktaş ; Levazım Mah.;1;1;145;4;9;2250
 Şişli ; Fulya Mah.;1;0;40;2;3;200
 Şişli ; Merkez Mah.;1;1;100;2;2;500
 Sarıyer ; Huzur Mah.;2;1;135;5;21;750
 Sarıyer ; Maslak Mah.;3;1;180;8;3;750
 Şişli ; Merkez Mah.;2;1;100;1;21;800
 Şişli ; Fulya Mah.;1;1;60;3;9;800
 Şişli ; Gülbahar Mah.;1;1;35;16;1;185
 Şişli ; Merkez Mah.;1;1;100;0;12;700
 Şişli ; Cumhuriyet Mah.;1;1;70;3;1;400
 Kağıthane ; Emniyet Evleri Mah.;3;1;250;10;21;1450
 Şişli ; Merkez Mah.;1;1;70;2;2;500
 Şişli ; Kuştepe Mah.;2;1;85;5;2;220
 Beşiktaş ; Levazım Mah.;2;1;200;5;15;2600
 Şişli ; Merkez Mah.;2;1;120;6;20;750
 Şişli ; Cumhuriyet Mah.;1;1;70;5;6;400
 Beşiktaş ; Levazım Mah.;2;1;200;5;8;2400
 Şişli ; Merkez Mah.;2;1;120;6;20;750
 Şişli ; Cumhuriyet Mah.;1;1;70;3;5;400
 Beşiktaş ; Levazım Mah.;2;1;179;4;8;2400
 Şişli ; Merkez Mah.;2;1;120;6;20;750
 Şişli ; Merkez Mah.;2;1;120;6;20;750
 Sarıyer ; Huzur Mah.;4;1;320;4;21;4800
 Beşiktaş ; Nisbetiye Mah.;3;1;240;0;21;3000
 Şişli ; Merkez Mah.;2;1;120;5;20;750
 Beşiktaş ; Nisbetiye Mah.;2;1;221;0;21;2400
 Şişli ; Merkez Mah.;2;1;120;5;20;750
 Beşiktaş ; Nisbetiye Mah.;4;1;350;0;21;3400
 Beşiktaş ; Vişnezade Mah.;1;1;135;10;4;1150
 Sarıyer ; Maslak Mah.;4;1;255;12;21;1250
 Şişli ; Merkez Mah.;1;1;70;1;12;450
 Sarıyer ; Maslak Mah.;4;1;255;12;21;1200
 Beşiktaş ; Levazım Mah.;2;1;169;5;9;2400
 Beşiktaş ; Mecidiye Mah.;1;1;100;1;0;1000
 Sarıyer ; Maslak Mah.;4;1;255;12;21;1200
 Sarıyer ; Maslak Mah.;4;1;255;13;20;1300
 Şişli ; Merkez Mah.;1;1;90;0;18;500
 Sarıyer ; Maslak Mah.;4;1;255;12;21;1300
 Kağıthane ; Telsizler Mah.;1;1;45;0;-1;180
 Beşiktaş ; Ulus Mah.;5;1;350;35;4;1650
 Şişli ; Fulya Mah.;1;0;35;2;5;200
 Kağıthane ; Harmantepe Mah.;1;1;45;5;5;190
 Sarıyer ; Rumeli Hisarı Mah.;2;1;110;35;2;490
 Beyoğlu ; Hacıahmet Mah.;1;1;75;0;-1;180
 Sarıyer ; Maslak Mah.;3;1;181;5;12;700
 Beşiktaş ; Nisbetiye Mah.;3;1;326;5;8;3000
 Sarıyer ; Maslak Mah.;4;1;236;9;16;1250
 Şişli ; Gülbahar Mah.;1;1;75;11;0;200
 Beşiktaş ; Levazım Mah.;1;1;170;5;17;2400
 Beşiktaş ; Levent Mah.;1;1;150;5;21;800
 Sarıyer ; Maslak Mah.;4;1;255;12;21;1300
 Şişli ; Kuştepe Mah.;1;0;45;3;1;180
 Sarıyer ; Maslak Mah.;4;1;255;10;21;1200
 Beşiktaş ; Levazım Mah.;2;1;170;5;7;2700
 Beşiktaş ; Dikilitaş Mah.;1;1;100;11;6;600
 Kağıthane ; Çağlayan Mah.;1;0;30;1;2;150
 Kağıthane ; Yahya Kemal Mah.;3;1;180;18;4;300
 Beşiktaş ; Levazım Mah.;1;1;200;5;3;2300
 Kağıthane ; Çağlayan Mah.;1;0;30;3;3;150
 Sarıyer ; Maslak Mah.;4;1;255;12;21;1300
 Şişli ; Esentepe Mah.;2;1;155;10;16;1500
 Şişli ; Kuştepe Mah.;1;0;25;4;1;140
 Beşiktaş ; Levazım Mah.;1;1;169;4;2;2700
 Sarıyer ; Maslak Mah.;3;1;170;12;5;880
 Şişli ; Kuştepe Mah.;1;0;25;3;3;130
 Sarıyer ; Maslak Mah.;3;1;170;10;9;850
 Şişli ; Kuştepe Mah.;1;0;30;4;-1;130
 Beşiktaş ; Levazım Mah.;2;1;200;5;7;2400
 Beşiktaş ; Nisbetiye Mah.;3;1;140;10;1;950
 Beşiktaş ; Nisbetiye Mah.;3;1;232;1;20;2750
 Sarıyer ; Maslak Mah.;3;1;186;10;20;800
 Sarıyer ; Maslak Mah.;4;1;255;12;21;1300
