district;neighborhood;room;living room;area (m2);age;floor;price
 Beşiktaş ; Arnavutköy Mah.;2;1;85;30;0;430
 Esenyurt ; Saadetdere Mah.;2;1;110;3;1;205
 Beşiktaş ; Ulus Mah.;2;1;160;30;1;870
 Güngören ; Gençosman Mah.;2;1;100;3;1;270
 Küçükçekmece ; Sultan Murat Mah.;1;1;60;25;1;150
 Beylikdüzü ; Gürpınar Mah.;3;1;110;0;5;240
 Kadıköy ; Osmanağa Mah.;2;0;90;0;1;500
 Beşiktaş ; Dikilitaş Mah.;3;1;120;27;-1;240
 Esenyurt ; Barbaros Hayrettin Paşa Mah.;1;1;75;0;8;125
 Beykoz ; Acarlar Mah.;5;1;450;16;0;2500
 Bakırköy ; Kartaltepe Mah.;3;1;120;45;3;280
 Şişli ; Feriköy Mah.;2;1;75;20;0;230
 Kağıthane ; Seyrantepe Mah.;1;1;65;11;4;280
 Beşiktaş ; Etiler Mah.;3;1;210;25;5;2400
 Gaziosmanpaşa ; Sarıgöl Mah.;2;1;196;20;5;160
 Beyoğlu ; Emekyemez Mah.;1;1;90;40;1;600
 Esenyurt ; Mehmet Akif Ersoy Mah.;2;1;100;4;2;150
 Arnavutköy ; Tayakadın Mah.;2;1;90;10;2;450
 Üsküdar ; Çengelköy Mah.;4;1;240;15;4;750
 Şişli ; Fulya Mah.;2;1;90;45;2;300
 Maltepe ; Aydınevler Mah.;2;1;105;3;4;300
 Şişli ; Mecidiyeköy Mah.;1;1;50;6;0;160
 Kadıköy ; Merdivenköy Mah.;3;1;115;31;1;330
 Şişli ; Mecidiyeköy Mah.;2;1;65;8;-1;200
 Esenyurt ; Güzelyurt Mah.;1;1;75;10;5;125
 Üsküdar ; Zeynep Kamil Mah.;2;1;90;26;1;240
 Bakırköy ; Zuhuratbaba Mah.;2;1;75;50;1;200
 Küçükçekmece ; Cennet Mah.;3;1;145;25;-1;175
 Kadıköy ; Caferağa Mah.;3;1;145;33;2;520
 Şişli ; Halide Edip Adıvar Mah.;2;1;110;28;3;200
 Kadıköy ; Hasanpaşa Mah.;2;1;80;8;1;350
 Bahçelievler ; Yenibosna Merkez Mah.;2;1;115;10;4;475
 Küçükçekmece ; Atakent Mah.;4;1;182;13;4;650
 Beylikdüzü ; Dereağzı Mah.;2;1;100;7;2;230
 Bakırköy ; Kartaltepe Mah.;2;1;85;40;1;180
 Ataşehir ; İçerenköy Mah.;1;1;80;20;1;190
 Kağıthane ; Harmantepe Mah.;2;1;80;6;8;300
 Sultanbeyli ; Adil Mah.;2;1;94;1;2;330
 Şişli ; Meşrutiyet Mah.;1;1;70;9;1;34999
 Ataşehir ; Esatpaşa Mah.;2;1;90;10;2;320
 Sarıyer ; Kireçburnu Mah.;1;1;110;30;1;450
 Ataşehir ; İçerenköy Mah.;3;1;135;30;5;450
 Kağıthane ; Harmantepe Mah.;1;1;65;8;1;185
 Sarıyer ; Maslak Mah.;1;1;85;10;10;600
 Eyüpsultan ; Güzeltepe Mah.;2;1;85;8;1;255
 Beşiktaş ; Akat Mah.;3;1;220;50;6;900
 Çekmeköy ; Nişantepe Mah.;1;1;55;0;4;180
 Beykoz ; Kavacık Mah.;3;1;120;20;1;280
 Beşiktaş ; Abbasağa Mah.;4;1;215;5;5;785
 Esenyurt ; İncirtepe Mah.;2;1;95;4;0;100
 Sarıyer ; Maslak Mah.;3;1;170;7;1;675
 Üsküdar ; Salacak Mah.;3;1;120;26;1;550
 Avcılar ; Merkez Mah.;3;1;160;12;3;320
 Sarıyer ; İstinye Mah.;3;1;148;27;4;450
 Şişli ; Esentepe Mah.;2;1;95;0;4;600
 Kadıköy ; Caferağa Mah.;1;1;50;0;4;330
 Kadıköy ; Fikirtepe Mah.;2;1;108;2;2;580
 Sarıyer ; Ayazağa Mah.;2;1;90;18;7;250
 Bayrampaşa ; Terazidere Mah.;2;1;70;6;1;200
 Üsküdar ; Aziz Mahmut Hüdayi Mah.;2;1;75;0;1;320
 Maltepe ; Küçükyalı Mah.;3;2;190;0;5;950
 Beşiktaş ; Gayrettepe Mah.;2;1;65;45;0;320
 Küçükçekmece ; Cumhuriyet Mah.;2;1;90;4;1;250
 Beylikdüzü ; Kavaklı Mah.;3;1;160;2;11;430
 Bahçelievler ; Hürriyet Mah.;2;1;85;32;2;145
 Eyüpsultan ; Emniyettepe Mah.;2;1;75;8;2;270
 Eyüpsultan ; Akşemsettin Mah.;2;1;100;3;0;330
 Fatih ; Silivrikapı Mah.;1;1;65;40;1;160
 Başakşehir ;Bahçeşehir 2. Kısım Mah.;5;1;434;10;5;825
 Kadıköy ;19 Mayıs Mah.;4;1;280;12;13;950
 Üsküdar ; Kandilli Mah.;4;1;240;25;0;1300
 Zeytinburnu ; Çırpıcı Mah.;2;1;95;28;5;180
 Zeytinburnu ; Kazlıçeşme Mah.;3;1;160;4;13;1100
 Şişli ; Esentepe Mah.;2;1;176;21;18;1000
 Sancaktepe ; Fatih Mah.;2;2;87;3;1;140
 Ümraniye ; Çamlık Mah.;3;1;140;14;7;290
 Beyoğlu ; Yenişehir Mah.;2;1;65;35;-1;120
 Kağıthane ; Çağlayan Mah.;1;1;70;5;5;350
 Beylikdüzü ; Gürpınar Mah.;4;2;150;1;4;360
 Başakşehir ; Kayabaşı Mah.;1;1;83;12;4;190
 Eyüpsultan ; Mimar Sinan Mah.;2;1;128;1;0;800
 Kartal ; Yukarı Mah.;3;1;119;40;2;231
 Üsküdar ; Bulgurlu Mah.;1;1;65;25;5;180
 Büyükçekmece ; Atatürk Mah.;3;1;130;26;1;120
 Kağıthane ; Hamidiye Mah.;4;1;220;2;6;1600
 Kağıthane ; Çağlayan Mah.;2;1;90;3;1;200
 Beylikdüzü ; Adnan Kahveci Mah.;3;1;155;7;2;350
 Bahçelievler ; Bahçelievler Mah.;1;1;77;3;12;375
 Şişli ; Kuştepe Mah.;1;1;55;11;-2;170
 Kartal ; Yakacık Yeni Mah.;2;1;85;7;9;290
 Bakırköy ; Yeşilköy Mah.;3;1;160;5;1;1000
 Bayrampaşa ; Kartaltepe Mah.;1;1;75;35;1;150
 Kadıköy ; Merdivenköy Mah.;2;1;85;40;6;320
 Çekmeköy ; Merkez Mah.;1;1;110;11;2;460
 Küçükçekmece ; Atakent Mah.;1;1;50;11;9;290
 Güngören ; Mareşal Çakmak Mah.;2;1;90;32;2;225
 Şişli ; Merkez Mah.;1;1;90;3;2;7000
 Avcılar ; Üniversite Mah.;3;1;120;30;3;200
 Büyükçekmece ; Atatürk Mah.;2;1;70;30;0;125
 Üsküdar ; Aziz Mahmut Hüdayi Mah.;2;1;110;13;2;330
 Gaziosmanpaşa ; Fevzi Çakmak Mah.;1;1;70;7;7;320
 Kadıköy ; Sahrayı Cedit Mah.;2;1;70;31;4;370
 Pendik ; Yenişehir Mah.;3;1;120;22;2;300
 Beşiktaş ; Nisbetiye Mah.;2;1;130;35;5;650
 Avcılar ; Ambarlı Mah.;3;2;180;10;0;250
 Şişli ; Gülbahar Mah.;2;1;80;20;5;190
 Şişli ; Gülbahar Mah.;3;1;115;20;4;230
 Sarıyer ; Pınar Mah.;5;1;330;10;5;2900
 Şişli ; Mecidiyeköy Mah.;2;1;110;24;2;290
 Fatih ; Seyyid Ömer Mah.;1;1;65;10;1;200
 Gaziosmanpaşa ; Karayolları Mah.;2;1;150;20;5;120
 Beyoğlu ; Cihangir Mah.;2;1;100;30;2;400
 Şişli ; Merkez Mah.;2;2;63;10;0;450
 Beşiktaş ; Etiler Mah.;2;1;210;16;5;2400
 Küçükçekmece ; Yeşilova Mah.;2;1;90;25;5;180
 Bahçelievler ; Bahçelievler Mah.;4;1;200;15;0;570
 Ataşehir ; İçerenköy Mah.;2;1;100;30;11;235
 Beşiktaş ; Vişnezade Mah.;1;1;145;5;2;1150
 Esenyurt ; Gökevler Mah.;2;1;100;10;1;220
 Üsküdar ; Murat Reis Mah.;2;1;90;45;3;250
 Şişli ; Gülbahar Mah.;2;1;100;15;2;250
 Bayrampaşa ; İsmet Paşa Mah.;1;1;75;5;4;300
 Eyüpsultan ; Güzeltepe Mah.;2;1;95;0;6;320
 Kadıköy ; Feneryolu Mah.;3;1;140;30;5;450
 Kağıthane ; Yahya Kemal Mah.;1;1;65;30;0;210
 Beyoğlu ; Ömer Avni Mah.;3;1;90;38;3;500
 Şişli ; Merkez Mah.;3;1;140;45;1;450
 Bayrampaşa ; Orta Mah.;2;1;80;18;1;300
 Kağıthane ; Ortabayır Mah.;2;1;85;40;3;170
 Beşiktaş ; Yıldız Mah.;1;1;140;25;2;350
 Kağıthane ; Ortabayır Mah.;2;1;85;15;2;250
 Beykoz ; Rüzgarlıbahçe Mah.;2;1;90;25;2;255
 Bahçelievler ; Soğanlı Mah.;2;1;140;27;6;140
 Büyükçekmece ; Yenimahalle Mah.;1;1;70;30;3;250
 Şişli ; Cumhuriyet Mah.;2;1;100;17;3;380
 Beşiktaş ; Nisbetiye Mah.;4;1;220;0;4;1900
 Şişli ; Halide Edip Adıvar Mah.;2;1;75;8;1;230
 Ümraniye ; Madenler Mah.;1;1;100;16;21;300
 Beylikdüzü ; Kavaklı Mah.;5;2;225;0;4;350
 Çekmeköy ; Güngören Mah.;2;1;85;4;2;230
 Eyüpsultan ; İslambey Mah.;3;1;120;16;2;250
 Şişli ; Halide Edip Adıvar Mah.;2;1;75;35;2;195
 Fatih ; Şehremini Mah.;3;1;105;45;4;200
 Şişli ; Merkez Mah.;2;1;110;5;2;425
 Fatih ; Hırka-i Şerif Mah.;2;1;75;35;0;150
 Beylikdüzü ; Cumhuriyet Mah.;2;1;150;8;5;250
 Sarıyer ; Cumhuriyet Mah.;3;1;140;30;2;250
 Beşiktaş ; Abbasağa Mah.;2;1;99;12;3;900
 Başakşehir ;Bahçeşehir 1. Kısım Mah.;4;1;190;14;0;650
 Maltepe ; Altıntepe Mah.;1;1;67;32;4;255
 Küçükçekmece ; Gültepe Mah.;2;1;85;11;2;240
 Beylikdüzü ; Dereağzı Mah.;2;1;110;8;0;200
 Büyükçekmece ; Atatürk Mah.;2;1;80;29;4;120
 Fatih ; Seyyid Ömer Mah.;2;1;85;38;1;220
 Beşiktaş ; Etiler Mah.;3;1;145;45;5;450
 Beykoz ; Çubuklu Mah.;3;1;100;30;0;200
 Şişli ; Mecidiyeköy Mah.;2;1;75;15;5;155
 Sarıyer ; Çayırbaşı Mah.;3;1;140;16;4;520
 Maltepe ; Zümrütevler Mah.;3;1;115;25;1;200
 Fatih ; Şehremini Mah.;3;1;120;40;3;220
 Küçükçekmece ; Gültepe Mah.;2;1;100;26;3;200
 Beyoğlu ; Kamer Hatun Mah.;1;0;45;10;2;180
 Beyoğlu ; Bülbül Mah.;1;1;65;25;2;250
 Ataşehir ; Küçükbakkalköy Mah.;1;0;40;4;5;240
 Sancaktepe ; Abdurrahmangazi Mah.;2;1;95;8;3;250
 Beşiktaş ; Yıldız Mah.;3;1;135;5;1;500
 Ataşehir ; Kayışdağı Mah.;1;1;65;5;5;240
 Sarıyer ; Maslak Mah.;4;1;230;8;15;1250
 Başakşehir ;Bahçeşehir 1. Kısım Mah.;3;1;175;11;0;800
 Maltepe ; Cevizli Mah.;3;1;115;10;2;350
 Bakırköy ; Kartaltepe Mah.;1;1;80;38;0;165
 Şişli ; Teşvikiye Mah.;2;1;80;50;1;300
 Fatih ; Molla Gürani Mah.;2;1;85;30;1;230
 Beşiktaş ; Türkali Mah.;2;1;89;39;2;300
 Şişli ; Merkez Mah.;1;2;90;25;1;330
 Beyoğlu ; Halıcıoğlu Mah.;3;1;115;30;0;150
 Beşiktaş ; Nisbetiye Mah.;2;1;80;60;2;450
 Sarıyer ; Huzur Mah.;2;1;174;5;9;650
 Şişli ; Halide Edip Adıvar Mah.;3;1;110;26;2;260
 Beşiktaş ; Vişnezade Mah.;2;1;75;35;2;330
 Bahçelievler ; Siyavuşpaşa Mah.;3;1;115;38;5;150
 Ümraniye ; Necip Fazıl Mah.;3;1;140;16;7;330
 Esenyurt ; Yeşilkent Mah.;1;1;68;6;16;120
 Ataşehir ; Barbaros Mah.;2;1;135;35;3;250
 Silivri ; Yeni Mah.;1;1;65;4;2;230
 Eyüpsultan ; Göktürk Merkez Mah.;3;1;165;10;1;600
 Beşiktaş ; Arnavutköy Mah.;1;1;63;40;-1;260
 Bakırköy ; Yeşilköy Mah.;2;1;100;7;2;600
 Silivri ; Gümüşyaka Mah.;2;1;100;25;2;165
 Zeytinburnu ; Beştelsiz Mah.;2;1;85;28;5;150
 Sarıyer ; Ferahevler Mah.;2;1;150;25;3;500
 Bahçelievler ; Bahçelievler Mah.;3;1;118;33;4;230
 Kağıthane ; Seyrantepe Mah.;1;0;45;13;4;200
 Esenyurt ; Piri Reis Mah.;2;1;75;9;9;150
 Kadıköy ; Suadiye Mah.;3;1;130;3;4;1100
 Beyoğlu ; Ömer Avni Mah.;3;1;90;38;3;500
 Sancaktepe ; Abdurrahmangazi Mah.;2;1;90;0;7;225
 Sultangazi ;75. Yıl Mah.;2;1;100;5;3;210
 Esenyurt ; Akşemseddin Mah.;2;1;105;11;9;200
 Kağıthane ; Ortabayır Mah.;3;1;130;5;0;230
 Sarıyer ; Huzur Mah.;3;1;168;2;2;900
 Sarıyer ; Maslak Mah.;4;1;240;8;14;1300
 Tuzla ; Yayla Mah.;2;1;100;20;2;185
 Bayrampaşa ; Terazidere Mah.;2;1;95;12;4;225
 Fatih ; Haseki Sultan Mah.;3;1;130;45;3;230
 Sarıyer ; Ayazağa Mah.;2;1;120;10;2;750
 Zeytinburnu ; Kazlıçeşme Mah.;3;1;170;5;6;1850
 Avcılar ; Ambarlı Mah.;3;1;110;26;2;150
 Fatih ; Silivrikapı Mah.;1;1;70;45;2;150
 Beylikdüzü ; Adnan Kahveci Mah.;2;1;140;3;2;200
 Başakşehir ; Kayabaşı Mah.;2;1;85;11;4;220
 Kadıköy ; Caferağa Mah.;3;1;140;35;4;600
 Beşiktaş ; Gayrettepe Mah.;2;1;80;0;-1;425
 Şişli ; Mecidiyeköy Mah.;3;1;260;7;8;550
 Üsküdar ; Zeynep Kamil Mah.;2;1;91;35;2;200
 Bahçelievler ; Cumhuriyet Mah.;2;1;85;25;5;150
 Küçükçekmece ; İnönü Mah.;3;1;130;20;2;500
 Kadıköy ; Caddebostan Mah.;3;1;155;34;0;1100
 Eyüpsultan ; Göktürk Merkez Mah.;1;0;50;0;2;330
 Küçükçekmece ; Cennet Mah.;2;1;100;31;3;200
 Kağıthane ; Çağlayan Mah.;1;1;50;15;3;215
 Beşiktaş ; Vişnezade Mah.;2;1;70;40;1;250
 Beyoğlu ; Cihangir Mah.;2;1;95;30;1;400
 Beyoğlu ; Fetihtepe Mah.;2;1;90;50;4;200
 Beşiktaş ; Nisbetiye Mah.;4;1;200;32;5;800
 Beyoğlu ; Pürtelaş Hasan Efendi Mah.;3;1;110;1;0;550
 Esenyurt ; Turgut Özal Mah.;2;1;90;11;0;105
 Ümraniye ; Atakent Mah.;3;1;110;35;1;265
 Eyüpsultan ; Mimar Sinan Mah.;3;1;219;1;2;1350
 Esenyurt ; Gökevler Mah.;3;1;140;10;8;250
 Üsküdar ; Çengelköy Mah.;3;1;125;1;4;570
 Şişli ; Mecidiyeköy Mah.;1;1;90;25;2;190
 Üsküdar ; Cumhuriyet Mah.;1;1;60;27;5;125
 Esenyurt ; Yeşilkent Mah.;2;1;101;11;5;170
 Küçükçekmece ; Yeşilova Mah.;3;1;135;30;2;170
 Maltepe ; Cevizli Mah.;3;1;110;26;1;260
 Şişli ; Esentepe Mah.;2;1;80;20;1;310
 Üsküdar ; Aziz Mahmut Hüdayi Mah.;2;1;75;0;1;370
 Beyoğlu ; Hacıahmet Mah.;2;1;80;40;-1;180
 Beyoğlu ; Piri Paşa Mah.;2;1;85;0;3;365
 Pendik ; Çınardere Mah.;3;1;108;22;1;250
 Beşiktaş ; Muradiye Mah.;3;1;120;35;5;500
 Şişli ; Yayla Mah.;3;1;186;13;6;750
 Esenyurt ; Selahaddin Eyyubi Mah.;2;1;75;15;0;85
 Beykoz ; Acarlar Mah.;2;1;137;3;2;1100
 Şişli ; Yayla Mah.;2;1;85;25;4;225
 Şişli ; Cumhuriyet Mah.;1;1;76;4;3;500
 Bayrampaşa ; Altıntepsi Mah.;2;1;80;30;3;150
 Üsküdar ; Sultantepe Mah.;2;1;105;38;2;200
 Şişli ; Mecidiyeköy Mah.;1;1;100;5;3;1000
 Ataşehir ; İçerenköy Mah.;3;1;120;25;4;310
 Bahçelievler ; Siyavuşpaşa Mah.;2;1;90;30;2;200
 Beykoz ; Acarlar Mah.;5;3;1700;11;0;3850
 Beşiktaş ; Ortaköy Mah.;5;2;500;32;0;1400
 Şişli ; Merkez Mah.;2;1;90;6;-1;320
 Silivri ; Mimar Sinan Mah.;2;1;95;2;1;155
 Başakşehir ; Kayabaşı Mah.;2;1;70;8;4;200
 Bakırköy ; Osmaniye Mah.;2;1;70;40;1;200
 Fatih ; Seyyid Ömer Mah.;1;1;67;36;1;140
 Büyükçekmece ; Güzelce Mah.;2;1;120;20;1;200
 Şişli ; Paşa Mah.;2;1;95;35;0;250
 Eyüpsultan ; Nişancı Mah.;4;1;130;5;4;250
 Pendik ; Fevzi Çakmak Mah.;4;1;120;35;4;240
 Başakşehir ;Bahçeşehir 2. Kısım Mah.;3;1;156;25;5;300
 Ataşehir ; İçerenköy Mah.;1;1;70;10;0;195
 Pendik ; Sülüntepe Mah.;2;1;95;16;0;170
 Şişli ; Merkez Mah.;2;1;100;0;2;500
 Kağıthane ; Yeşilce Mah.;1;1;70;10;2;230
 Esenyurt ; Koza Mah.;1;1;60;2;5;190
 Bakırköy ; Kartaltepe Mah.;2;1;85;45;1;225
 Bahçelievler ; Soğanlı Mah.;2;1;75;15;3;200
 Şişli ; Fulya Mah.;3;1;130;30;2;350
 Beylikdüzü ; Kavaklı Mah.;4;2;240;9;3;350
 Beylikdüzü ; Dereağzı Mah.;3;1;100;15;5;150
 Adalar ; Nizam Mah.;4;1;280;31;2;650
 Beyoğlu ; Kamer Hatun Mah.;2;1;125;70;4;400
 Üsküdar ; Cumhuriyet Mah.;1;1;65;15;5;170
 Beylikdüzü ; Kavaklı Mah.;2;1;90;7;-1;200
 Beyoğlu ; Örnektepe Mah.;2;1;75;27;-2;240
 Üsküdar ; İcadiye Mah.;2;1;80;35;2;250
 Kağıthane ; Gürsel Mah.;2;1;80;10;-1;220
 Bağcılar ; Merkez Mah.;3;1;130;40;3;260
 Şişli ; İnönü Mah.;1;1;50;35;1;170
 Bahçelievler ; Siyavuşpaşa Mah.;1;1;50;4;-1;170
 Beyoğlu ; Tomtom Mah.;2;1;60;100;3;450
 Bahçelievler ; Bahçelievler Mah.;2;1;90;0;3;400
 Pendik ; Güzelyalı Mah.;3;1;115;15;2;275
 Avcılar ; Gümüşpala Mah.;3;1;132;30;6;200
 Fatih ; Seyyid Ömer Mah.;2;1;100;40;2;220
 Kağıthane ; Çeliktepe Mah.;1;1;60;2;14;350
 Güngören ; Merkez Mah.;2;1;115;30;2;195
 Beyoğlu ; Cihangir Mah.;2;1;90;60;1;350
 Kadıköy ; Caddebostan Mah.;3;1;148;32;8;690
 Şişli ; Mecidiyeköy Mah.;2;1;80;26;2;280
 Küçükçekmece ; Kemalpaşa Mah.;3;1;120;25;4;200
 Sarıyer ; Maslak Mah.;3;1;200;8;4;900
 Küçükçekmece ; Cennet Mah.;3;1;130;31;2;225
 Şişli ; Gülbahar Mah.;1;1;75;5;3;285
 Üsküdar ; Bulgurlu Mah.;2;1;100;12;0;190
 Üsküdar ; Murat Reis Mah.;2;1;80;40;4;200
 Beyoğlu ; Kamer Hatun Mah.;1;1;55;30;1;130
 Beşiktaş ; Ortaköy Mah.;2;1;100;35;4;370
